,id_of_student,address_of_student,alternativeAddress1_of_student,alternativeAddress2_of_student,hasCar,hasChildren,favoriteSpecialties_of_student,id_of_practice,address_of_practice,specialties_of_practice,Pair,timeDuration,matching,weights
10,S011,"Flensburger Straße 13, 60435 Frankfurt am Main","Eleonore-Sterling-Straße 64, 60433 Frankfurt am Main",No Address,0,0,"Strahlentherapie, Palliativmedizin",P011,"Pissarroweg 7, 60438 Frankfurt am Main","Notfallmedizin, Infektiologie",S011 - P011,14,0,-14
3,S004,"Rödelheimer Landstraße 99, 60489 Frankfurt am Main","Im Staffel 119, 60389 Frankfurt am Main","Haigerer Straße 22, 65936 Frankfurt am Main",0,0,"Notfallmedizin, Arbeitsmedizin, Notfallmedizin ",P004,"Im Burgfeld 111, 60439 Frankfurt am Main","Palliativmedizin, Schlafmedizin",S004 - P004,15,0,-15
43,S044,"Böcklinstraße 11, 60596 Frankfurt am Main",No Address,No Address,1,0,"Tropenmedizin, Sozialmedizin, Palliativmedizin",P044,"Wittelsbacherallee 64, 60385 Frankfurt am Main",0,S044 - P044,16,0,-16
41,S042,"Marktstraße 111, 60388 Frankfurt am Main",No Address,No Address,1,0,"Tropenmedizin, Medikamentöse Tumortherapie",P042,"Holunderweg 19, 60433 Frankfurt am Main",0,S042 - P042,16,0,-16
12,S013,"Flanbrechtstraße 38, 65931 Frankfurt am Main","Ben-Gurion-Ring 105, 60437 Frankfurt am Main",No Address,0,0,"Strahlentherapie, Röntgendiagnostik, Spezielle Viszeralchirurgie",P013,"Im Geeren 125, 60433 Frankfurt am Main","Palliativmedizin, Psychotherapie",S013 - P013,16,0,-16
18,S019,"Im Kammerdorf 5, 60386 Frankfurt am Main","Flußgasse 8, 60489 Frankfurt am Main",No Address,0,0,"Strahlentherapie, Röntgendiagnostik",P019,"Inheidener Straße 12, 60385 Frankfurt am Main","Transfusionsmedizin, Notfallmedizin",S019 - P019,17,0,-17
46,S047,"Albert-Einstein-Straße 48, 60437 Frankfurt am Main",No Address,No Address,1,0,Chirotherapie,P047,"Im Staffel 108, 60389 Frankfurt am Main",0,S047 - P047,17,0,-17
9,S010,"Im Uhrig 4, 60433 Frankfurt am Main","Homburger Landstraße 129, 60435 Frankfurt am Main","Im Burgfeld 134, 60439 Frankfurt am Main",0,0,Strahlentherapie,P010,"Hamburger Allee 44, 60486 Frankfurt am Main",Geriatrie,S010 - P010,17,0,-17
8,S009,"Fuchstanzstraße 75, 60489 Frankfurt am Main","Buchenrodestraße 18, 60528 Frankfurt am Main","Am Ruhestein 47, 60529 Frankfurt am Main",0,0,"Notfallmedizin, Ärztliches Qualitätsmanagement",P009,"Hegelstraße 20, 60316 Frankfurt am Main",Homöopathie,S009 - P009,17,0,-17
48,S049,"Humboldtstraße 56, 60318 Frankfurt am Main",No Address,No Address,1,0,Ärztliches Qualitätsmanagement,P049,"Bürgerstraße 1, 60437 Frankfurt am Main",0,S049 - P049,18,0,-18
17,S018,"Friedberger Anlage 18b, 60316 Frankfurt am Main","Eschersheimer Landstraße 419, 60431 Frankfurt am Main",No Address,0,0,Strahlentherapie,P018,"Gerhart-Hauptmann-Ring 358, 60439 Frankfurt am Main",Flugmedizin,S018 - P018,19,0,-19
6,S007,"Herzbergstraße 1, 60439 Frankfurt am Main","Bernhard-Mannfeld-Weg 58, 60599 Frankfurt am Main","Emmerich-Josef-Straße 44, 65929 Frankfurt am Main",0,0,Notfallmedizin,P007,"Hanauer Landstraße 295, 60314 Frankfurt am Main","Naturheilverfahren, Allergologie",S007 - P007,21,0,-21
23,S024,"Battenberger Weg 15, 60489 Frankfurt am Main",No Address,No Address,0,0,"Proktologie, Kinder-Orthopädie",P024,"Am Wiesenhof 19, 60529 Frankfurt am Main",Ärztliches Qualitätsmanagement,S024 - P024,22,0,-22
40,S041,"Alt-Niederursel 57, 60439 Frankfurt am Main",No Address,No Address,1,0,"Schlafmedizin, Naturheilverfahren, Allergologie ",P041,"Hermann-Brill-Straße 18, 65931 Frankfurt am Main",0,S041 - P041,22,0,-22
44,S045,"Märker Straße 9, 60437 Frankfurt am Main",No Address,No Address,1,0,"Tropenmedizin, Labordiagnostik",P045,"Markt 4a, 60311 Frankfurt am Main",0,S045 - P045,22,0,-22
27,S028,"Am Ebelfeld 133, 60488 Frankfurt am Main",No Address,No Address,0,0,"Flugmedizin, Kinder-Nephrologie, Spezielle Viszeralchirurgie",P028,"Elbestraße 9, 60329 Frankfurt am Main",0,S028 - P028,24,0,-24
30,S031,"Camillo-Sitte-Weg 19, 60488 Frankfurt am Main",No Address,No Address,0,0,"Sexualmedizin, Transplantationsmedizin",P031,"Baustraße 16, 60322 Frankfurt am Main",0,S031 - P031,24,0,-24
45,S046,"Thielenstraße 19, 60433 Frankfurt am Main",No Address,No Address,1,0,Stimm- und Sprechstörungen,P046,"Ernst-Wiss-Straße 18, 65933 Frankfurt am Main",0,S046 - P046,26,0,-26
49,S050,"Beunestraße 28, 65934 Frankfurt am Main",No Address,No Address,1,0,"Sozialmedizin, Kinder-Nephrologie",P050,"Ziegenhainer Straße 79, 60433 Frankfurt am Main",0,S050 - P050,26,0,-26
28,S029,"Ziegelhüttenweg 66, 60598 Frankfurt am Main",No Address,No Address,0,0,Flugmedizin,P029,"Hohensteiner Straße 16, 60487 Frankfurt am Main",0,S029 - P029,28,0,-28
21,S022,"Lange Straße 31, 60311 Frankfurt am Main",No Address,No Address,0,0,"Proktologie, Arbeitsmedizin, Notfallmedizin",P022,"Azaleenweg 50, 60433 Frankfurt am Main",Chirotherapie,S022 - P022,28,0,-28
26,S027,"Schmittener Straße 3, 60489 Frankfurt am Main",No Address,No Address,0,0,"Flugmedizin, Hämostaseologie",P027,"Ibellstraße 4, 65929 Frankfurt am Main",0,S027 - P027,29,0,-29
47,S048,"Vatterstraße 61, 60386 Frankfurt am Main",No Address,No Address,1,0,Infektiologie,P048,"Oeserstraße 31a, 65934 Frankfurt am Main",0,S048 - P048,29,0,-29
20,S021,"An der Herrenwiese 92, 60529 Frankfurt am Main",No Address,No Address,0,0,"Homöopathie, Hämostaseologie",P021,"Hermann-Küster-Straße 30, 65931 Frankfurt am Main","Betriebsmedizin, Badearzt, Notfallmedizin",S021 - P021,31,0,-31
13,S014,"Rombergstraße 22, 65931 Frankfurt am Main","Danneckerstraße 39, 60594 Frankfurt am Main",No Address,0,0,Strahlentherapie,P014,"Hessestraße 34, 60439 Frankfurt am Main","Proktologie, Andrologie",S014 - P014,31,0,-31
22,S023,"Ludwig-Quidde-Straße 2a, 60437 Frankfurt am Main",No Address,No Address,0,0,Proktologie,P023,"Ilbenstädter Straße 33, 60385 Frankfurt am Main","Intensivmedizin, Palliativmedizin",S023 - P023,34,0,-34
15,S016,"Oberwiesenstraße 3, 60435 Frankfurt am Main","Bürgerstraße 45, 60437 Frankfurt am Main",No Address,0,0,"Strahlentherapie, Transplantationsmedizin",P016,"Buchrainstraße 66, 60599 Frankfurt am Main","Nuklearmedizin, Infektiologie",S016 - P016,34,0,-34
24,S025,"Elsterstraße 77, 65933 Frankfurt am Main",No Address,No Address,0,0,"Proktologie, Transplantationsmedizin",P025,"Scheerengasse 8, 60599 Frankfurt am Main","Sozialmedizin, Palliativmedizin",S025 - P025,37,0,-37
25,S026,"Birkholzweg 46, 60433 Frankfurt am Main",No Address,No Address,0,0,"Flugmedizin, Kinder-Rheumatologie",P026,"Tucholskystraße 10, 60598 Frankfurt am Main",0,S026 - P026,38,0,-38
31,S032,"Goldpeppingstraße 28, 60435 Frankfurt am Main",No Address,No Address,0,0,"Sexualmedizin, Naturheilverfahren, Allergologie",P032,"Schwanheimer Straße 23, 60528 Frankfurt am Main",0,S032 - P032,39,0,-39
